Group,Subgroup,Expenditure Group,Employee households,Employee households,Employee households,Age pensioner households,Age pensioner households,Age pensioner households,Other government transfer recipient households,Other government transfer recipient households,Other government transfer recipient households,Self-funded retiree households,Self-funded retiree households,Self-funded retiree households,Pensioner and beneficiary households,Pensioner and beneficiary households,Pensioner and beneficiary households,Consumer Price Index,Consumer Price Index,Consumer Price Index
Food and non-alcoholic beverages,,,18.13,,,20.38,,,18.65,,,17.35,,,19.38,,,16.76,,
,Bread and cereal products,,,1.48,,,2.22,,,2.01,,,1.58,,,2.09,,,1.43,
,,Bread,,,0.55,,,0.81,,,0.77,,,0.56,,,0.78,,,0.53
,,Cakes and biscuits,,,0.63,,,0.98,,,0.84,,,0.7,,,0.9,,,0.61
,,Breakfast cereals,,,0.12,,,0.23,,,0.17,,,0.19,,,0.2,,,0.12
,,Other cereal products,,,0.18,,,0.2,,,0.23,,,0.13,,,0.21,,,0.17
,Meat and seafoods,,,2.48,,,4.02,,,3.23,,,3.01,,,3.58,,,2.45,
,,Beef and veal,,,0.54,,,0.89,,,0.75,,,0.65,,,0.81,,,0.54
,,Pork,,,0.32,,,0.58,,,0.43,,,0.4,,,0.49,,,0.32
,,Lamb and goat,,,0.3,,,0.55,,,0.4,,,0.56,,,0.47,,,0.31
,,Poultry,,,0.49,,,0.57,,,0.55,,,0.38,,,0.56,,,0.45
,,Other meats,,,0.41,,,0.62,,,0.62,,,0.33,,,0.62,,,0.39
,,Fish and other seafood,,,0.42,,,0.81,,,0.48,,,0.69,,,0.63,,,0.44
,Dairy and related products,,,1.04,,,1.55,,,1.53,,,1.23,,,1.53,,,1.01,
,,Milk,,,0.4,,,0.68,,,0.68,,,0.51,,,0.68,,,0.4
,,Cheese,,,0.33,,,0.48,,,0.39,,,0.39,,,0.43,,,0.32
,,Ice cream and other dairy products,,,0.31,,,0.39,,,0.46,,,0.33,,,0.42,,,0.29
,Fruit and vegetables,,,2.4,,,3.51,,,3.02,,,2.71,,,3.24,,,2.31,
,,Fruit,,,1.02,,,1.58,,,1.27,,,1.27,,,1.41,,,1
,,Vegetables,,,1.38,,,1.93,,,1.75,,,1.44,,,1.83,,,1.31
,Food products n.e.c.,,,2.21,,,3.3,,,3.03,,,2.3,,,3.15,,,2.11,
,,Eggs,,,0.13,,,0.22,,,0.17,,,0.15,,,0.19,,,0.13
,,"Jams, honey and spreads",,,0.13,,,0.21,,,0.16,,,0.19,,,0.18,,,0.13
,,Food additives and condiments,,,0.31,,,0.43,,,0.4,,,0.34,,,0.42,,,0.3
,,Oils and fats,,,0.19,,,0.51,,,0.29,,,0.29,,,0.39,,,0.2
,,Snacks and confectionery,,,0.9,,,1.12,,,1.15,,,0.87,,,1.13,,,0.84
,,Other food products n.e.c.,,,0.55,,,0.81,,,0.86,,,0.46,,,0.84,,,0.51
