DATAFLOW,MEASURE: Measure,INDEX: Index,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,DECIMALS: Decimals,OBS_COMMENT: Observation Comment
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,"40098: Audio, visual and computing equipment",20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,2.9,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40015: Fish and other seafood,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,3.1,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,97555: Garments for infants and children,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,0,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40073: Pets and related products,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,11.8,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40091: Medical and hospital services,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,2.9,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40045: Footwear for men,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,3.2,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40078: Telecommunication equipment and services,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,-0.3,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40092: Therapeutic appliances and equipment,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,0.3,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,"40048: Cleaning, repair and hire of clothing and footwear",20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,6.2,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40047: Footwear for infants and children,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,0.8,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40005: Bread,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,7.2,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,131185: Carpets and other floor coverings,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,6.9,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40084: Spare parts and accessories for motor vehicles,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,9.4,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,40090: Tobacco,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,3.5,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,115489: Recreation and culture,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,4.5,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,115486: Health,20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,2.5,PCT: Percent,,1: One,
ABS:CPI(1.1.0),3: Percentage Change from Corresponding Quarter of the Previous Year,"97571: Equipment for sports, camping and open-air recreation",20: Seasonally Adjusted,50: Weighted average of eight capital cities,Q: Quarterly,2022-Q2,3.5,PCT: Percent,,1: One,
